Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,FH 2,FH 3,Demo flights,logistics,Crewed missions,Commercial satellites,Scientific satellites,Military satellites,Rideshares,Current,In development,Retired,Cancelled,Spacecraft,Cargo,Crewed,Test vehicles,Unflown,Orbital,Atmospheric,Landing sites,Other facilities,Support,Contracts,R&D programs,Key people,Related,General,People,Vehicles,Launches by rocket type,Launches by spaceport,"Agencies, companies and facilities",Other mission lists and timelines,Version Booster,Booster landing,Date,Time
44,KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4,Success,30 October 2017,30 October 2017
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1035.2,Success,15 December 2017,15 December 2017
46,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1036.2,Controlled,23 December 2017,23 December 2017
47,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4,Success,8 January 2018,8 January 2018
48,CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1032.2,Controlled,31 January 2018,31 January 2018
49,VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 FTB1038.2,No attempt,22 February 2018,22 February 2018
50,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4,No attempt,6 March 2018,6 March 2018
51,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1041.2,No attempt,30 March 2018,30 March 2018
52,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1039.2,No attempt,2 April 2018,2 April 2018
53,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4,Success,18 April 2018,18 April 2018
54,KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1046.1,Success,11 May 2018,11 May 2018
55,VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1043.2,No attempt,22 May 2018,22 May 2018
56,CCAFS,SES-12,"5,384 kg",GTO,SES,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1040.2,No attempt,4 June 2018,4 June 2018
57,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B4B1045.2,No attempt,29 June 2018,29 June 2018
58,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,22 July 2018,22 July 2018
59,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1048,Success,25 July 2018,25 July 2018
60,CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1046.2,Success,7 August 2018,7 August 2018
61,CCAFS,Telstar 18V,"7,060 kg",GTO,Telesat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,10 September 2018,10 September 2018
